City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,79.52,53,20,12.66,few clouds
1,Matagami,CA,49.7502,-77.6328,62.71,67,100,6.91,overcast clouds
2,Iqaluit,CA,63.7506,-68.5145,43.7,81,90,10.0,overcast clouds
3,Te Anau,NZ,-45.4167,167.7167,40.03,96,100,0.76,overcast clouds
4,Kapaa,US,22.0752,-159.319,80.92,79,100,17.27,overcast clouds
5,Ballarat,AU,-37.5662,143.8496,41.61,81,96,3.33,overcast clouds
6,San Cristobal,VE,7.7669,-72.225,82.58,44,96,7.29,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,39.31,81,75,19.57,light rain
8,Katsuura,JP,35.1333,140.3,74.19,93,100,6.91,overcast clouds
9,Rio Grande,BR,-32.035,-52.0986,59.11,68,0,11.54,clear sky
10,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,0,11.5,clear sky
11,Monroe,US,43.1501,-77.6831,78.53,72,75,12.66,broken clouds
12,Carnarvon,AU,-24.8667,113.6333,53.67,100,0,4.61,clear sky
13,Camacha,PT,33.0833,-16.3333,67.42,73,75,5.75,broken clouds
14,Abomey,BJ,7.1829,1.9912,74.79,85,100,8.1,overcast clouds
15,Road Town,VG,18.4167,-64.6167,87.89,66,40,12.66,scattered clouds
16,Hilo,US,19.7297,-155.09,80.33,89,100,10.36,overcast clouds
17,Bredasdorp,ZA,-34.5322,20.0403,58.78,68,100,19.08,overcast clouds
18,Luwuk,ID,-0.9516,122.7875,75.99,92,98,4.09,overcast clouds
19,Kaeo,NZ,-35.1,173.7833,54.32,96,100,2.68,moderate rain
20,Faanui,PF,-16.4833,-151.75,76.78,79,30,18.43,moderate rain
21,Mackay,AU,-21.15,149.2,44.69,63,0,12.8,clear sky
22,Saskylakh,RU,71.9167,114.0833,44.01,68,100,10.02,overcast clouds
23,Pangnirtung,CA,66.1451,-65.7125,49.15,76,98,3.44,overcast clouds
24,Talaya,RU,61.3833,152.75,70.54,72,17,7.16,few clouds
25,Yellowknife,CA,62.456,-114.3525,64.54,52,100,12.62,overcast clouds
26,Caravelas,BR,-17.7125,-39.2481,76.3,68,5,5.59,clear sky
27,Ancud,CL,-41.8697,-73.8203,41.23,78,89,10.27,light rain
28,Urucui,BR,-7.2294,-44.5561,96.76,23,82,8.93,broken clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,93,100,13.8,light rain
30,Chuy,UY,-33.6971,-53.4616,52.11,66,6,7.85,clear sky
31,Tiksi,RU,71.6872,128.8694,35.35,97,100,5.77,overcast clouds
